ubigeo,departamento,provincia,distrito,poblacion_distrito,cp_referencia,cp_poblacion,altitud_m,region_natural_piso,region3
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,32589,CHACHAPOYAS,32026,2483,Quechua,Sierra
010102,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,262,ASUNCION,145,2823,Quechua,Sierra
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1136,BALSAS,354,859,Rupa Rupa,Selva
010104,AMAZONAS,CHACHAPOYAS,CHETO,642,CHETO,449,2143,Yunga fluvial,Sierra
010105,AMAZONAS,CHACHAPOYAS,CHILIQUÍN,585,CHILIQUIN,105,2677,Quechua,Sierra
010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,1781,CHUQUIBAMBA,527,2803,Quechua,Sierra
010107,AMAZONAS,CHACHAPOYAS,GRANADA,480,GRANADA,179,3041,Quechua,Sierra
010108,AMAZONAS,CHACHAPOYAS,HUANCAS,1258,HUANCAS,1215,2591,Quechua,Sierra
010109,AMAZONAS,CHACHAPOYAS,LA JALCA,3978,LA JALCA,2390,2869,Quechua,Sierra
010110,AMAZONAS,PADRE MINA,LEIMEBAMBA,3620,LEIMEBAMBA,1304,2226,Yunga fluvial,Sierra
010111,AMAZONAS,PADRE MINA,LEVANTO,794,LEVANTO,460,2681,Quechua,Sierra
010112,AMAZONAS,PADRE MINA,MAGDALENA,852,MAGDALENA,701,1892,Yunga fluvial,Sierra
010113,AMAZONAS,PADRE MINA,MARISCAL CASTILLA,1367,YERBABUENA,520,1989,Yunga fluvial,Sierra
010114,AMAZONAS,PADRE MINA,MOLINOPAMPA,2176,MOLINOPAMPA,653,2405,Quechua,Sierra
010115,AMAZONAS,PADRE MINA,MONTEVIDEO,496,MONTEVIDEO,460,2421,Quechua,Sierra
010116,AMAZONAS,PADRE MINA,OLLEROS,375,OLLEROS,135,3053,Quechua,Sierra
010117,AMAZONAS,PADRE MINA,QUINJALCA,769,QUINJALCA,101,3151,Quechua,Sierra
010118,AMAZONAS,PADRE MINA,SAN FRANCISCO DE DAGUAS,295,PIPUS,181,2028,Yunga fluvial,Sierra
010119,AMAZONAS,PADRE MINA,SAN ISIDRO DE MAINO,580,MAINO,430,2338,Quechua,Sierra
010120,AMAZONAS,HISHPINGO,SOLOCO,1224,MITO,350,2620,Quechua,Sierra
010121,AMAZONAS,HISHPINGO,SONCHE,247,NUEVO OLMAL,135,2499,Quechua,Sierra
010201,AMAZONAS,BAGUA,BAGUA,27102,BAGUA,24224,408,Rupa Rupa,Selva
010202,AMAZONAS,BAGUA,ARAMANGO,9765,EL MUYO (C.P.L.),1206,360,Omagua,Selva
010203,AMAZONAS,MAJUSH ENTSA,COPALLÍN,4595,COPALLIN,1907,693,Rupa Rupa,Selva
010204,AMAZONAS,MAJUSH ENTSA,EL PARCO,1216,EL PARCO,643,626,Rupa Rupa,Selva
010205,AMAZONAS,MAJUSH ENTSA,IMAZA,25162,CHIRIACO,2278,317,Omagua,Selva
010206,AMAZONAS,UYAI ENTSA,LA PECA,6260,LA PECA,3081,892,Rupa Rupa,Selva
010301,AMAZONAS,BONGARÁ,JUMBILLA,1337,JUMBILLA,1102,2081,Yunga fluvial,Sierra
010302,AMAZONAS,BONGARÁ,CHISQUILLA,306,CHISQUILLA,118,2057,Yunga fluvial,Sierra
010303,AMAZONAS,BONGARÁ,CHURUJA,287,CHURUJA,277,1399,Rupa Rupa,Selva
010304,AMAZONAS,BONGARÁ,COROSHA,772,BEIRUT,496,1901,Yunga fluvial,Sierra
010305,AMAZONAS,BONGARÁ,CUISPES,669,CUISPES,369,1912,Yunga fluvial,Sierra
010306,AMAZONAS,BONGARÁ,FLORIDA,5999,FLORIDA (POMACOCHAS),3739,2250,Yunga fluvial,Sierra
010307,AMAZONAS,BONGARÁ,JAZÁN,7580,PEDRO RUIZ GALLO,5361,1342,Rupa Rupa,Selva
010308,AMAZONAS,BONGARÁ,RECTA,208,CHUELTA,81,2279,Yunga fluvial,Sierra
010309,AMAZONAS,BONGARÁ,SAN CARLOS,489,SAN CARLOS,354,1942,Yunga fluvial,Sierra
010310,AMAZONAS,BONGARÁ,SHIPASBAMBA,1539,SHIPASBAMBA,801,1668,Yunga fluvial,Sierra
010311,AMAZONAS,BONGARÁ,VALERA,874,VALERA (SAN PABLO),285,1928,Yunga fluvial,Sierra
010312,AMAZONAS,BONGARÁ,YAMBRASBAMBA,5577,BUENOS AIRES,763,1896,Yunga fluvial,Sierra
010401,AMAZONAS,CONDORCANQUI,NIEVA,18626,SANTA MARIA DE NIEVA,2510,189,Omagua,Selva
010402,AMAZONAS,TSEKUNTS,EL CENEPA,9891,KUSU KUBAIM,1231,245,Omagua,Selva
010403,AMAZONAS,TSEKUNTS,RÍO SANTIAGO,13953,YUTUPIS,1434,191,Omagua,Selva
010501,AMAZONAS,LUYA,LÁMUD,2227,LAMUD,1996,2328,Quechua,Sierra
010502,AMAZONAS,LUYA,CAMPORREDONDO,6473,COCOCHO,2894,1818,Yunga fluvial,Sierra
010503,AMAZONAS,LUYA,COCABAMBA,1881,COCABAMBA,349,2273,Yunga fluvial,Sierra
010504,AMAZONAS,LA PIRCA,COLCAMAR,1853,COLCAMAR,1189,2355,Quechua,Sierra
010505,AMAZONAS,LA PIRCA,CONILA,1840,COHECHAN,1062,2767,Quechua,Sierra
010506,AMAZONAS,LA PIRCA,INGUILPATA,498,INGUILPATA,345,2380,Quechua,Sierra
010507,AMAZONAS,LA PIRCA,LONGUITA,839,CHOCTAMAL,282,2696,Quechua,Sierra
010508,AMAZONAS,LA PIRCA,LONYA CHICO,842,LONYA CHICO,347,2329,Quechua,Sierra
010509,AMAZONAS,LA PIRCA,LUYA,3959,LUYA,2358,2359,Quechua,Sierra
010510,AMAZONAS,LA PIRCA,LUYA VIEJO,388,LUYA VIEJO,388,2924,Quechua,Sierra
010511,AMAZONAS,LA PIRCA,MARÍA,744,MARIA,376,2757,Quechua,Sierra
010512,AMAZONAS,LA PIRCA,OCALLÍ,3556,OCALLI,1530,1867,Yunga fluvial,Sierra
010513,AMAZONAS,LA PIRCA,OCÚMAL,3446,COLLONCE,521,1898,Yunga fluvial,Sierra
010514,AMAZONAS,LA PIRCA,PISUQUÍA,4768,SAN MIGUEL DE PORO PORO,485,2118,Yunga fluvial,Sierra
010515,AMAZONAS,LA PIRCA,PROVIDENCIA,1316,CRUZ LOMAS,267,1849,Yunga fluvial,Sierra
010516,AMAZONAS,LA PIRCA,SAN CRISTÓBAL,546,OLTO,437,2636,Quechua,Sierra
010517,AMAZONAS,LA PIRCA,SAN FRANCISCO DEL YESO,695,SAN FRANCISCO DEL YESO,365,2404,Quechua,Sierra
