AÑO;MES;ADM_LEVEL_1_NAME;ADM_LEVEL_2_NAME;ADM_LEVEL_3_NAME;NETWORK_CARRIER;AVERAGE_THROUGHPUT_DOWNLOAD_3G;THROUGHPUT_DOWNLOAD_3G_MEASUREMENTS;AVERAGE_THROUGHPUT_UPLOAD_3G;THROUGHPUT_UPLOAD_3G_MEASUREMENTS;AVERAGE_THROUGHPUT_DOWNLOAD_4G;THROUGHPUT_DOWNLOAD_4G_MEASUREMENTS;AVERAGE_THROUGHPUT_UPLOAD_4G;THROUGHPUT_UPLOAD_4G_MEASUREMENTS;AVERAGE_THROUGHPUT_DOWNLOAD_5G_NSA;THROUGHPUT_DOWNLOAD_5G_NSA_MEASUREMENTS;AVERAGE_THROUGHPUT_UPLOAD_5G_NSA;THROUGHPUT_UPLOAD_5G_NSA_MEASUREMENTS;AVERAGE_LATENCY_3G;LATENCY_3G_MEASUREMENTS;AVERAGE_LATENCY_4G;LATENCY_4G_MEASUREMENTS;AVERAGE_LATENCY_5G_NSA;LATENCY_5G_NSA_MEASUREMENTS;TIME_PERCENTAGE_3G;TIME_PERCENTAGE_3G_SECONDS;TIME_PERCENTAGE_3G_MEASUREMENTS;TIME_PERCENTAGE_4G;TIME_PERCENTAGE_4G_SECONDS;TIME_PERCENTAGE_4G_MEASUREMENTS;TIME_PERCENTAGE_5G_NSA;TIME_PERCENTAGE_5G_NSA_SECONDS;TIME_PERCENTAGE_5G_NSA_MEASUREMENTS;TIME_PERCENTAGE_TOTAL_SECONDS;PACKET_LOSS_3G;LOST_PACKET_3G;PACKET_TRANSMITTED_3G;PACKET_LOSS_3G_MEASUREMENTS;PACKET_LOSS_4G;LOST_PACKET_4G;PACKET_TRANSMITTED_4G;PACKET_LOSS_4G_MEASUREMENTS;PACKET_LOSS_5G_NSA;LOST_PACKET_5G_NSA;PACKET_TRANSMITTED_5G_NSA;PACKET_LOSS_5G_NSA_MEASUREMENTS
2026;1;Amazonas;Bagua;Aramango;BITEL;;;;;10.140662;4067.0;2.779693;421.0;;;;;;;61.92064;5241.0;;;15.869847;750453.0;4785.0;81.79258;3867806.0;16645.0;;;;4728798.0;5.760369;;;;1.8614641;416.0;22348.0;5587.0;;;;
2026;1;Amazonas;Bagua;Aramango;CLARO;;;;;10.509751;895.0;;;;;;;;;59.264355;1494.0;;;6.647465;49783.0;475.0;83.99323;629027.0;3786.0;;;;748902.0;4.910714;;;;0.8111616;50.0;6164.0;1541.0;;;;
2026;1;Amazonas;Bagua;Aramango;ENTEL;;;;;;;;;;;;;;;;;;;0.0;;;91.8747;98961.0;;;;;107713.0;;;;;4.1353383;;;;;;;
2026;1;Amazonas;Bagua;Aramango;MOVISTAR;;;;;;;;;;;;;;;;;;;0.032658987;36.0;;4.437993;4892.0;;;;;110230.0;;;;;;;;;;;;
2026;1;Amazonas;Bagua;Bagua;BITEL;;;;;14.069674;10837.0;3.1679833;507.0;;;;;;;57.702904;40235.0;;;3.4135914;361545.0;5379.0;95.96195;10163655.0;50477.0;;10466.0;;10591338.0;17.95977;;;;0.4939526;807.0;163376.0;40844.0;;;;
2026;1;Amazonas;Bagua;Bagua;CLARO;5.2324533;899.0;0.83060294;423.0;12.808965;15286.0;1.9799637;1412.0;;;;;312.22073;1401.0;64.02654;21132.0;;;5.389926;944353.0;3371.0;94.32819;16526964.0;69243.0;;;;17520705.0;3.6764705;220.0;5984.0;1496.0;0.52200115;447.0;85632.0;21408.0;;;;
2026;1;Amazonas;Bagua;Bagua;ENTEL;;;;;11.562226;6519.0;;;;;;;;;75.64778;8890.0;;;12.172753;637072.0;4375.0;87.37364;4572778.0;22189.0;;;;5233590.0;3.3042395;53.0;1604.0;401.0;0.7869652;284.0;36088.0;9022.0;;;;
2026;1;Amazonas;Bagua;Bagua;MOVISTAR;;;;;11.534126;5670.0;2.7352407;727.0;;;;;;;63.367336;7685.0;;;0.90539825;57544.0;1072.0;98.933426;6287868.0;36381.0;;;;6355656.0;;;;;0.39042822;124.0;31760.0;7940.0;;;;
2026;1;Amazonas;Bagua;Copallin;BITEL;;;;;;;;;;;;;;;;;;;4.3829875;11918.0;;91.99934;250160.0;1550.0;;;;271915.0;;;;;1.2376238;;;;;;;
2026;1;Amazonas;Bagua;Copallin;CLARO;;;;;;;;;;;;;;;;;;;27.322002;12249.0;;68.98198;30926.0;497.0;;;;44832.0;;;;;;;;;;;;
