ubigeo,department,province,district,breakpoint_yearmonth,region3,pre6_treated,post6_treated,delta_treated,delta_control_mean,did,matched_count,caliper_level,unmatched
40102,Arequipa,Arequipa,Alto Selva Alegre,202410,Sierra,9.7304185,11.324420166666668,1.5940016666666672,-0.6276238833333332,2.2216255500000006,5,standard,False
40103,Arequipa,Arequipa,Cayma,202411,Sierra,9.984859,11.345640416666669,1.3607814166666685,-0.5031022833333335,1.863883700000002,5,standard,False
40107,Arequipa,Arequipa,Jacobo Hunter,202410,Sierra,9.24404475,10.061394,0.8173492499999995,-0.31458689999999995,1.1319361499999994,5,standard,False
40109,Arequipa,Arequipa,Mariano Melgar,202411,Sierra,9.7935575,11.282756416666668,1.489198916666668,-0.5061216200000004,1.9953205366666684,5,standard,False
40110,Arequipa,Arequipa,Miraflores,202411,Sierra,11.5843455,11.827727166666667,0.24338166666666794,-0.9638711666666673,1.2072528333333352,3,standard,False
40112,Arequipa,Arequipa,Paucarpata,202411,Sierra,9.478909166666666,10.11965525,0.6407460833333332,-0.7856921533333339,1.426438236666667,5,standard,False
40117,Arequipa,Arequipa,Sachaca,202410,Sierra,9.195857833333331,10.607178499999998,1.4113206666666667,0.01962015000000026,1.3917005166666665,5,standard,False
40122,Arequipa,Arequipa,Socabaya,202410,Sierra,11.173927583333333,10.033349666666666,-1.1405779166666665,-0.4384305666666677,-0.7021473499999988,5,standard,False
40123,Arequipa,Arequipa,Tiabaya,202410,Costa,8.894516,10.487080166666669,1.5925641666666692,0.4327240041666667,1.1598401625000025,4,relaxed,False
40126,Arequipa,Arequipa,Yanahuara,202410,Sierra,12.855279416666669,12.90593375,0.050654333333332247,-0.9316085833333346,0.9822629166666669,5,relaxed,False
40129,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,Sierra,9.836228,10.856661166666669,1.0204331666666686,0.19136561666666588,0.8290675500000028,5,standard,False
50104,Ayacucho,Huamanga,Carmen Alto,202505,Sierra,9.471561,11.225062916666667,1.7535019166666679,0.6406874666666663,1.1128144500000015,5,standard,False
70104,Callao,Callao,La Perla,202602,Costa,13.285471666666666,14.777174875,1.491703208333334,1.0698885166666674,0.4218146916666665,5,standard,False
80101,Cusco,Cusco,Cusco,202509,Sierra,8.325551416666668,11.494709916666666,3.169158499999998,0.8267906125000004,2.342367887499998,4,standard,False
80104,Cusco,Cusco,San Jeronimo,202509,Sierra,8.762957766666666,12.226203416666666,3.4632456499999993,0.6842289208333332,2.779016729166666,4,standard,False
80105,Cusco,Cusco,San Sebastian,202509,Sierra,9.034160000000002,11.292797166666665,2.258637166666663,0.6872529733333334,1.5713841933333295,5,relaxed,False
80106,Cusco,Cusco,Santiago,202509,Sierra,7.702801483333332,10.441906666666666,2.7391051833333346,0.8267906125000004,1.9123145708333342,4,standard,False
80108,Cusco,Cusco,Wanchaq,202509,Sierra,9.495076833333332,11.983264833333337,2.4881880000000045,0.6564596166666667,1.8317283833333378,5,relaxed,False
80801,Cusco,Espinar,Espinar,202602,Sierra,11.888880416666666,12.03818825,0.1493078333333333,0.07502136666666707,0.07428646666666623,5,relaxed,False
110101,Ica,Ica,Ica,202510,Costa,10.621536166666669,11.624691416666666,1.0031552499999972,0.549064116666667,0.4540911333333302,5,standard,False
110102,Ica,Ica,La Tinguiña,202508,Costa,8.526984916666665,10.608572833333334,2.0815879166666686,1.4328345966666667,0.648753320000002,5,standard,False
110106,Ica,Ica,Parcona,202510,Costa,9.188868666666666,10.698820583333337,1.5099519166666706,1.2663316966666667,0.24362022000000394,5,standard,False
110112,Ica,Ica,Subtanjalla,202507,Costa,8.429923066666667,11.484229083333334,3.0543060166666667,0.6165752233333335,2.4377307933333334,5,standard,False
110201,Ica,Chincha,Chincha Alta,202406,Costa,11.399142,12.084174666666664,0.6850326666666646,-0.15996355000000015,0.8449962166666648,5,standard,False
110202,Ica,Chincha,Alto Laran,202406,Costa,10.021989833333334,11.224286333333334,1.2022964999999992,0.4123420766666673,0.789954423333332,5,standard,False
110204,Ica,Chincha,Chincha Baja,202406,Costa,10.00908875,10.992088333333331,0.9829995833333314,0.9275377166666668,0.05546186666666453,5,standard,False
110205,Ica,Chincha,El Carmen,202406,Costa,11.546361166666664,13.16805775,1.6216965833333354,0.26509038333333274,1.3566062000000028,5,standard,False
110207,Ica,Chincha,Pueblo Nuevo,202406,Costa,10.356843666666668,10.706407,0.34956333333333234,0.03828308333333297,0.31128024999999937,5,standard,False
110210,Ica,Chincha,Sunampe,202405,Costa,11.976406666666668,12.109427666666669,0.13302100000000117,0.7903039499999999,-0.6572829499999987,5,standard,False
120101,Junin,Huancayo,Huancayo,202501,Sierra,8.915837833333333,10.321927666666667,1.4060898333333345,-0.009477344444443148,1.4155671777777776,3,standard,False
120107,Junin,Huancayo,Chilca,202501,Sierra,7.4819576,8.4890329,1.0070752999999995,-0.018989561111109943,1.0260648611111094,3,standard,False
120114,Junin,Huancayo,El Tambo,202501,Sierra,9.784827083333331,10.857101833333331,1.07227475,-0.12450550555555513,1.1967802555555551,3,standard,False
120125,Junin,Huancayo,Pilcomayo,202501,Sierra,7.782396366666666,8.693143333333333,0.9107469666666672,0.029042730000000107,0.8817042366666671,5,standard,False
120129,Junin,Huancayo,San Agustin,202412,Sierra,9.238827833333334,8.720551016666667,-0.5182768166666669,-0.7297385266666667,0.2114617099999998,5,standard,False
130101,La Libertad,Trujillo,Trujillo,202412,Costa,11.381563666666668,12.651016166666665,1.2694524999999963,0.3780723999999996,0.8913800999999968,5,standard,False
130102,La Libertad,Trujillo,El Porvenir,202412,Costa,9.800980166666667,9.6190965,-0.18188366666666766,0.5893942999999997,-0.7712779666666674,5,standard,False
130105,La Libertad,Trujillo,La Esperanza,202412,Costa,9.528016,10.45188875,0.923872750000001,0.5779023333333324,0.3459704166666686,5,standard,False
130107,La Libertad,Trujillo,Moche,202412,Costa,11.023053000000004,11.632213833333331,0.6091608333333269,-0.692324433333334,1.301485266666661,5,standard,False
130111,La Libertad,Trujillo,Victor Larco Herrera,202412,Costa,11.031788,12.70050375,1.6687157499999987,-0.7005874999999999,2.369303249999999,5,standard,False
140101,Lambayeque,Chiclayo,Chiclayo,202412,Costa,10.334399666666666,10.62674,0.29234033333333365,0.6722519166666668,-0.3799115833333332,5,standard,False
140105,Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,Costa,10.779250666666668,10.950724666666666,0.17147399999999813,0.02857810000000107,0.14289589999999705,5,standard,False
140106,Lambayeque,Chiclayo,La Victoria,202412,Costa,10.459262833333334,9.692678666666666,-0.766584166666668,-0.2760213833333328,-0.49056278333333514,5,standard,False
140112,Lambayeque,Chiclayo,Pimentel,202412,Costa,9.902416833333334,10.110418833333334,0.20800200000000046,-0.14255610000000019,0.35055810000000065,5,standard,False
150104,Lima,Lima,Barranco,202511,Costa,13.206799333333334,14.390050416666668,1.1832510833333334,0.6475281041666654,0.535722979166668,4,standard,False
150105,Lima,Lima,Breña,202512,Costa,12.684490333333333,13.4614495,0.7769591666666678,1.0824158666666666,-0.3054566999999988,5,standard,False
150106,Lima,Lima,Carabayllo,202512,Costa,13.384182166666667,13.852829333333332,0.46864716666666517,1.761308999999999,-1.2926618333333337,3,standard,False
150112,Lima,Lima,Independencia,202512,Costa,12.281675833333331,12.819494249999998,0.5378184166666671,1.1999678833333338,-0.6621494666666667,5,standard,False
150117,Lima,Lima,Los Olivos,202512,Costa,13.149542833333332,13.6276235,0.4780806666666688,1.4283894999999989,-0.95030883333333,4,standard,False
150125,Lima,Lima,Puente Piedra,202512,Costa,12.369981083333334,13.335299999999998,0.9653189166666643,1.1521648333333339,-0.1868459166666696,5,standard,False
150127,Lima,Lima,Punta Negra,202504,Costa,11.25318275,12.357402666666667,1.1042199166666666,1.308394166666666,-0.20417424999999945,5,standard,False
150132,Lima,Lima,San Juan De Lurigancho,202512,Costa,12.709999083333331,12.896325333333335,0.18632625000000402,0.991386833333334,-0.80506058333333,5,relaxed,False
150135,Lima,Lima,San Martin De Porres,202512,Costa,12.848277083333334,13.1768415,0.3285644166666657,0.8937831111111117,-0.5652186944444461,3,standard,False
150502,Lima,Cañete,Asia,202512,Costa,12.396761916666668,12.945453083333334,0.5486911666666661,-0.08786921666666636,0.6365603833333324,5,standard,False
150505,Lima,Cañete,Chilca,202510,Costa,11.779838666666668,12.847695916666666,1.0678572499999976,0.43845840000000075,0.629398849999997,5,standard,False
150509,Lima,Cañete,Mala,202512,Costa,12.043643666666666,12.8104025,0.7667588333333342,0.26606946666666753,0.5006893666666666,5,standard,False
150811,Lima,Huaura,Sayan,202602,Costa,8.830200883333333,6.116048575,-2.7141523083333334,0.7043614266666669,-3.4185137350000003,5,relaxed,False
200104,Piura,Piura,Castilla,202412,Costa,10.618500583333336,10.975581666666663,0.3570810833333269,0.04647625000000133,0.31060483333332556,5,standard,False
200105,Piura,Piura,Catacaos,202411,Costa,8.523658916666667,9.294575333333333,0.7709164166666653,-0.0699241533333332,0.8408405699999986,5,standard,False
200115,Piura,Piura,Veintiseis De Octubre,202412,Costa,9.117502333333334,10.074332333333334,0.9568300000000001,0.3522999833333323,0.6045300166666678,5,standard,False
210101,Puno,Puno,Puno,202511,Sierra,9.624984666666668,11.306933333333332,1.6819486666666634,0.49415852333333365,1.1877901433333298,5,relaxed,False
210402,Puno,Chucuito,Desaguadero,202601,Sierra,9.1093678,11.298338800000002,2.188971000000002,0.6526532046666667,1.5363177953333356,5,relaxed,False
210801,Puno,Melgar,Ayaviri,202602,Sierra,9.922681333333337,10.36214875,0.43946741666666256,0.5692650083333337,-0.12979759166667115,5,relaxed,False
211101,Puno,San Roman,Juliaca,202511,Sierra,9.839242,10.921399999999998,1.082157999999998,0.49415852333333365,0.5879994766666643,5,relaxed,False
211104,Puno,San Roman,Caracoto,202511,Sierra,8.681847883333335,11.529541166666666,2.8476932833333315,1.237657926666666,1.6100353566666654,5,relaxed,False
211105,Puno,San Roman,San Miguel,202511,Sierra,10.766995666666666,12.279728,1.512732333333334,0.5023767333333318,1.0103556000000022,5,relaxed,False
230203,Tacna,Candarave,Camilaca,202412,Sierra,7.522975333333332,9.7300665,2.2070911666666673,,,1,unmatched,True
240101,Tumbes,Tumbes,Tumbes,202511,Costa,11.193017166666666,12.311760833333333,1.118743666666667,0.9513222666666671,0.16742139999999994,5,standard,False
