outcome,department,province,district,breakpoint_yearmonth,delta_treated,delta_control_mean,did,n_controls,has_5g_post
download,Arequipa,Arequipa,Alto Selva Alegre,202410,1.5940016666666672,-0.6276238833333332,2.2216255500000006,5,False
download,Arequipa,Arequipa,Cayma,202411,1.3607814166666667,-0.5031022833333335,1.8638837000000001,5,False
download,Arequipa,Arequipa,Jacobo Hunter,202410,0.8173492500000012,-0.31458689999999995,1.1319361500000011,5,False
download,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,1.0204331666666668,0.19136561666666588,0.829067550000001,5,False
download,Arequipa,Arequipa,Mariano Melgar,202411,1.4891989166666662,-0.5061216200000004,1.9953205366666666,5,False
download,Arequipa,Arequipa,Miraflores,202411,0.24338166666666794,-0.9638711666666673,1.2072528333333352,3,False
download,Arequipa,Arequipa,Paucarpata,202411,0.6407460833333349,-0.7856921533333339,1.4264382366666688,5,False
download,Arequipa,Arequipa,Sachaca,202410,1.411320666666665,0.01962015000000026,1.3917005166666647,5,False
download,Arequipa,Arequipa,Socabaya,202410,-1.1405779166666665,-0.4384305666666677,-0.7021473499999988,5,False
download,Arequipa,Arequipa,Tiabaya,202410,1.5925641666666674,0.4486563200000001,1.1439078466666674,5,False
download,Arequipa,Arequipa,Yanahuara,202410,0.050654333333332247,-0.9316085833333346,0.9822629166666669,5,False
download,Ayacucho,Huamanga,Carmen Alto,202505,1.753501916666666,0.6406874666666663,1.1128144499999997,5,False
download,Callao,Callao,La Perla,202602,1.491703208333334,1.0698885166666674,0.4218146916666665,5,False
download,Cusco,Cusco,Cusco,202509,3.169158499999998,0.8267906125000004,2.342367887499998,4,False
download,Cusco,Cusco,San Jeronimo,202509,3.4632456499999993,0.6842289208333332,2.779016729166666,4,False
download,Cusco,Cusco,San Sebastian,202509,2.258637166666663,0.6872529733333334,1.5713841933333295,5,False
download,Cusco,Cusco,Santiago,202509,2.7391051833333337,0.8267906125000004,1.9123145708333333,4,False
download,Cusco,Cusco,Wanchaq,202509,2.4881880000000027,0.6564596166666667,1.831728383333336,5,False
download,Cusco,Espinar,Espinar,202602,0.14930783333333508,0.07502136666666707,0.07428646666666801,5,False
download,Ica,Chincha,Alto Laran,202406,1.2022964999999992,0.4123420766666673,0.789954423333332,5,False
download,Ica,Chincha,Chincha Alta,202406,0.6850326666666646,-0.15996355000000015,0.8449962166666648,5,False
download,Ica,Chincha,Chincha Baja,202406,0.9829995833333331,0.9275377166666668,0.055461866666666304,5,False
download,Ica,Chincha,El Carmen,202406,1.6216965833333354,0.26509038333333274,1.3566062000000028,5,False
download,Ica,Chincha,Pueblo Nuevo,202406,0.34956333333333056,0.03828308333333297,0.3112802499999976,5,False
download,Ica,Chincha,Sunampe,202405,0.1330209999999994,0.7903039499999999,-0.6572829500000005,5,False
download,Ica,Ica,Ica,202510,1.003155249999999,0.549064116666667,0.45409113333333195,5,False
download,Ica,Ica,La Tinguiña,202508,2.0815879166666686,1.4328345966666667,0.648753320000002,5,False
download,Ica,Ica,Parcona,202510,1.5099519166666688,1.2663316966666667,0.24362022000000216,5,False
download,Ica,Ica,Subtanjalla,202507,3.0543060166666667,0.6165752233333335,2.4377307933333334,5,False
download,Junin,Huancayo,Chilca,202501,1.0070752999999995,-0.018989561111109943,1.0260648611111094,3,False
download,Junin,Huancayo,El Tambo,202501,1.07227475,-0.12450550555555513,1.1967802555555551,3,False
download,Junin,Huancayo,Huancayo,202501,1.4060898333333345,-0.009477344444443148,1.4155671777777776,3,False
download,Junin,Huancayo,Pilcomayo,202501,0.9107469666666672,0.029042730000000107,0.8817042366666671,5,False
download,Junin,Huancayo,San Agustin,202412,-0.5182768166666669,-0.7297385266666667,0.2114617099999998,5,False
download,La Libertad,Trujillo,El Porvenir,202412,-0.18188366666666766,0.5893942999999997,-0.7712779666666674,5,False
download,La Libertad,Trujillo,La Esperanza,202412,0.923872750000001,0.5779023333333324,0.3459704166666686,5,False
download,La Libertad,Trujillo,Moche,202412,0.6091608333333305,-0.692324433333334,1.3014852666666645,5,False
download,La Libertad,Trujillo,Trujillo,202412,1.269452499999998,0.3780723999999996,0.8913800999999986,5,False
download,La Libertad,Trujillo,Victor Larco Herrera,202412,1.6687157500000005,-0.7005874999999999,2.3693032500000006,5,False
download,Lambayeque,Chiclayo,Chiclayo,202412,0.29234033333333365,0.6722519166666668,-0.3799115833333332,5,False
download,Lambayeque,Chiclayo,Jose Leonardo Ortiz,202412,0.17147399999999813,0.02857810000000107,0.14289589999999705,5,False
download,Lambayeque,Chiclayo,La Victoria,202412,-0.766584166666668,-0.2760213833333328,-0.49056278333333514,5,False
download,Lambayeque,Chiclayo,Pimentel,202412,0.20800200000000046,-0.14255610000000019,0.35055810000000065,5,False
download,Lima,Cañete,Asia,202512,0.5486911666666661,-0.08786921666666636,0.6365603833333324,5,True
download,Lima,Cañete,Chilca,202510,1.0678572499999976,0.43845840000000075,0.629398849999997,5,False
download,Lima,Cañete,Mala,202512,0.7667588333333342,0.26606946666666753,0.5006893666666666,5,True
download,Lima,Huaura,Sayan,202602,-2.7141523083333334,0.8030113350000001,-3.5171636433333333,5,False
download,Lima,Lima,Barranco,202511,1.1832510833333334,0.6475281041666654,0.535722979166668,4,False
download,Lima,Lima,Breña,202512,0.7769591666666695,1.0824158666666666,-0.30545669999999703,5,True
download,Lima,Lima,Carabayllo,202512,0.46864716666666517,1.761308999999999,-1.2926618333333337,3,True
download,Lima,Lima,Independencia,202512,0.5378184166666653,1.1999678833333338,-0.6621494666666685,5,False
download,Lima,Lima,Los Olivos,202512,0.47808066666666704,1.4283894999999989,-0.9503088333333318,4,True
download,Lima,Lima,Puente Piedra,202512,0.9653189166666643,1.1521648333333339,-0.1868459166666696,5,False
download,Lima,Lima,Punta Negra,202504,1.1042199166666684,1.308394166666666,-0.20417424999999767,5,False
download,Lima,Lima,San Juan De Lurigancho,202512,0.1863262500000058,0.991386833333334,-0.8050605833333282,5,True
download,Lima,Lima,San Martin De Porres,202512,0.3285644166666657,0.8937831111111117,-0.5652186944444461,3,True
download,Piura,Piura,Castilla,202412,0.35708108333333044,0.04647625000000133,0.3106048333333291,5,False
download,Piura,Piura,Catacaos,202411,0.7709164166666653,-0.0699241533333332,0.8408405699999986,5,False
download,Piura,Piura,Veintiseis De Octubre,202412,0.9568300000000001,0.3522999833333323,0.6045300166666678,5,False
download,Puno,Chucuito,Desaguadero,202601,2.188971000000002,0.6348463579999997,1.5541246420000026,5,False
download,Puno,Melgar,Ayaviri,202602,0.4394674166666661,0.5692650083333337,-0.1297975916666676,5,False
download,Puno,Puno,Puno,202511,1.6819486666666652,0.49415852333333365,1.1877901433333315,5,False
download,Puno,San Roman,Caracoto,202511,2.8476932833333315,0.750324226666668,2.0973690566666634,5,False
download,Puno,San Roman,Juliaca,202511,1.082157999999998,0.49415852333333365,0.5879994766666643,5,False
download,Puno,San Roman,San Miguel,202511,1.512732333333334,0.5023767333333318,1.0103556000000022,5,False
download,Tacna,Candarave,Camilaca,202412,2.2070911666666673,0.1366615666666672,2.0704296,3,False
download,Tumbes,Tumbes,Tumbes,202511,1.118743666666667,0.9513222666666671,0.16742139999999994,5,False
time4g,Arequipa,Arequipa,Alto Selva Alegre,202410,1.8279055,1.7142300333333338,0.11367546666666617,5,False
time4g,Arequipa,Arequipa,Cayma,202411,0.6960481666666425,2.005696900000001,-1.3096487333333586,5,False
time4g,Arequipa,Arequipa,Jacobo Hunter,202410,1.9698978333333486,1.7494134666666696,0.22048436666667892,5,False
time4g,Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,202411,1.5231768333333235,1.9599712666666704,-0.4367944333333469,5,False
time4g,Arequipa,Arequipa,Mariano Melgar,202411,3.7885889999999875,2.2293417999999976,1.55924719999999,5,False
time4g,Arequipa,Arequipa,Miraflores,202411,1.271150333333324,0.9704956666666646,0.3006546666666594,3,False
time4g,Arequipa,Arequipa,Paucarpata,202411,0.16158150000001115,1.4602070333333301,-1.298625533333319,5,False
time4g,Arequipa,Arequipa,Sachaca,202410,3.377181666666658,1.2056168000000014,2.1715648666666567,5,False
time4g,Arequipa,Arequipa,Socabaya,202410,1.440899166666668,1.7778205999999954,-0.33692143333332747,5,False
time4g,Arequipa,Arequipa,Tiabaya,202410,-2.1938650000000166,2.0256972333333265,-4.219562233333344,5,False
time4g,Arequipa,Arequipa,Yanahuara,202410,-2.885843833333311,0.9079688333333337,-3.793812666666645,5,False
time4g,Ayacucho,Huamanga,Carmen Alto,202505,1.2623950000000121,2.336515066666672,-1.07412006666666,5,False
time4g,Callao,Callao,La Perla,202602,1.7675505833333318,0.2895514333333324,1.4779991499999994,5,False
