department,province,district,region3,altitud_m,poblacion_distrito
Amazonas,Bagua,Aramango,Selva,360.0,9765.0
Amazonas,Bagua,Bagua,Selva,408.0,27102.0
Amazonas,Bagua,Copallin,,,
Amazonas,Bagua,El Parco,,,
Amazonas,Bagua,Imaza,,,
Amazonas,Bagua,La Peca,,,
Amazonas,Bongara,Chisquilla,Sierra,2057.0,306.0
Amazonas,Bongara,Churuja,Selva,1399.0,287.0
Amazonas,Bongara,Corosha,Sierra,1901.0,772.0
Amazonas,Bongara,Cuispes,Sierra,1912.0,669.0
Amazonas,Bongara,Florida,Sierra,2250.0,5999.0
Amazonas,Bongara,Jazan,Selva,1342.0,7580.0
Amazonas,Bongara,Jumbilla,Sierra,2081.0,1337.0
Amazonas,Bongara,Recta,Sierra,2279.0,208.0
Amazonas,Bongara,San Carlos,Sierra,1942.0,489.0
Amazonas,Bongara,Shipasbamba,Sierra,1668.0,1539.0
Amazonas,Bongara,Valera,Sierra,1928.0,874.0
Amazonas,Bongara,Yambrasbamba,Sierra,1896.0,5577.0
Amazonas,Chachapoyas,Asuncion,Sierra,2823.0,262.0
Amazonas,Chachapoyas,Chachapoyas,Sierra,2483.0,32589.0
Amazonas,Chachapoyas,Cheto,Sierra,2143.0,642.0
Amazonas,Chachapoyas,Chiliquin,Sierra,2677.0,585.0
Amazonas,Chachapoyas,Chuquibamba,Sierra,2803.0,1781.0
Amazonas,Chachapoyas,Granada,Sierra,3041.0,480.0
Amazonas,Chachapoyas,Huancas,Sierra,2591.0,1258.0
Amazonas,Chachapoyas,La Jalca,Sierra,2869.0,3978.0
Amazonas,Chachapoyas,Leimebamba,,,
Amazonas,Chachapoyas,Levanto,,,
Amazonas,Chachapoyas,Magdalena,,,
Amazonas,Chachapoyas,Mariscal Castilla,,,
Amazonas,Chachapoyas,Molinopampa,,,
Amazonas,Chachapoyas,Montevideo,,,
Amazonas,Chachapoyas,Quinjalca,,,
Amazonas,Chachapoyas,San Francisco De Daguas,,,
Amazonas,Chachapoyas,San Isidro De Maino,,,
Amazonas,Chachapoyas,Sonche,,,
Amazonas,Condorcanqui,El Cenepa,,,
Amazonas,Condorcanqui,Nieva,Selva,189.0,18626.0
Amazonas,Condorcanqui,Rio Santiago,,,
Amazonas,Luya,Camporredondo,Sierra,1818.0,6473.0
Amazonas,Luya,Colcamar,,,
Amazonas,Luya,Inguilpata,,,
Amazonas,Luya,Lamud,Sierra,2328.0,2227.0
Amazonas,Luya,Longuita,,,
Amazonas,Luya,Lonya Chico,,,
Amazonas,Luya,Luya,,,
Amazonas,Luya,Maria,,,
Amazonas,Luya,Ocalli,,,
Amazonas,Luya,Ocumal,,,
Amazonas,Luya,Pisuquia,,,
Amazonas,Luya,Providencia,,,
Amazonas,Luya,San Cristobal,,,
Amazonas,Luya,San Francisco Del Yeso,,,
Amazonas,Luya,San Jeronimo,,,
Amazonas,Luya,San Juan De Lopecancha,,,
Amazonas,Luya,Santa Catalina,,,
Amazonas,Luya,Santo Tomas,,,
Amazonas,Luya,Tingo,,,
Amazonas,Rodriguez De Mendoza,Chirimoto,Selva,1186.0,2498.0
Amazonas,Rodriguez De Mendoza,Cochamal,Sierra,1612.0,595.0
Amazonas,Rodriguez De Mendoza,Huambo,Sierra,1731.0,2620.0
Amazonas,Rodriguez De Mendoza,Limabamba,Sierra,1677.0,2280.0
Amazonas,Rodriguez De Mendoza,Longar,Sierra,1623.0,1631.0
Amazonas,Rodriguez De Mendoza,Mariscal Benavides,Sierra,1592.0,1506.0
Amazonas,Rodriguez De Mendoza,Milpuc,Sierra,1664.0,453.0
Amazonas,Rodriguez De Mendoza,Omia,Selva,1494.0,8793.0
Amazonas,Rodriguez De Mendoza,San Nicolas,Sierra,1616.0,6016.0
Amazonas,Rodriguez De Mendoza,Santa Rosa,Sierra,1770.0,512.0
Amazonas,Rodriguez De Mendoza,Totora,Sierra,1684.0,282.0
Amazonas,Rodriguez De Mendoza,Vista Alegre,Selva,1162.0,2812.0
Amazonas,Utcubamba,Bagua Grande,Selva,444.0,50841.0
Amazonas,Utcubamba,Cajaruro,,,
Amazonas,Utcubamba,Cumba,,,
Amazonas,Utcubamba,El Milagro,,,
Amazonas,Utcubamba,Jamalca,,,
Amazonas,Utcubamba,Lonya Grande,,,
Amazonas,Utcubamba,Yamon,,,
Ancash,Aija,Aija,Sierra,3421.0,2017.0
Ancash,Aija,Coris,Sierra,2903.0,1639.0
Ancash,Aija,Huacllan,Sierra,3020.0,364.0
Ancash,Aija,La Merced,Sierra,3311.0,1582.0
Ancash,Aija,Succha,Sierra,3167.0,714.0
Ancash,Antonio Raymondi,Aczo,Sierra,2680.0,1918.0
Ancash,Antonio Raymondi,Chaccho,Sierra,3371.0,1368.0
Ancash,Antonio Raymondi,Chingas,Sierra,2866.0,1851.0
Ancash,Antonio Raymondi,Llamellin,Sierra,3400.0,3288.0
Ancash,Antonio Raymondi,Mirgas,Sierra,3147.0,4067.0
Ancash,Antonio Raymondi,San Juan De Rontoy,Sierra,3782.0,1158.0
Ancash,Asuncion,Acochaca,Sierra,3520.0,2815.0
Ancash,Asuncion,Chacas,Sierra,3387.0,4563.0
Ancash,Bolognesi,Abelardo Pardo Lezameta,Costa,2108.0,244.0
