department,province,district,region3,altitud_m,poblacion_distrito
Amazonas,Bagua,Aramango,Selva,360,9765
Amazonas,Bagua,Bagua,Selva,408,27102
Amazonas,Bagua,Copallin,Selva,693,4595
Amazonas,Bagua,El Parco,Selva,626,1216
Amazonas,Bagua,Imaza,Selva,317,25162
Amazonas,Bagua,La Peca,Selva,892,6260
Amazonas,Bongara,Chisquilla,Sierra,2057,306
Amazonas,Bongara,Churuja,Selva,1399,287
Amazonas,Bongara,Corosha,Sierra,1901,772
Amazonas,Bongara,Cuispes,Sierra,1912,669
Amazonas,Bongara,Florida,Sierra,2250,5999
Amazonas,Bongara,Jazan,Selva,1342,7580
Amazonas,Bongara,Jumbilla,Sierra,2081,1337
Amazonas,Bongara,Recta,Sierra,2279,208
Amazonas,Bongara,San Carlos,Sierra,1942,489
Amazonas,Bongara,Shipasbamba,Sierra,1668,1539
Amazonas,Bongara,Valera,Sierra,1928,874
Amazonas,Bongara,Yambrasbamba,Sierra,1896,5577
Amazonas,Chachapoyas,Asuncion,Sierra,2823,262
Amazonas,Chachapoyas,Chachapoyas,Sierra,2483,32589
Amazonas,Chachapoyas,Cheto,Sierra,2143,642
Amazonas,Chachapoyas,Chiliquin,Sierra,2677,585
Amazonas,Chachapoyas,Chuquibamba,Sierra,2803,1781
Amazonas,Chachapoyas,Granada,Sierra,3041,480
Amazonas,Chachapoyas,Huancas,Sierra,2591,1258
Amazonas,Chachapoyas,La Jalca,Sierra,2869,3978
Amazonas,Chachapoyas,Leimebamba,Sierra,2226,3620
Amazonas,Chachapoyas,Levanto,Sierra,2681,794
Amazonas,Chachapoyas,Magdalena,Sierra,1892,852
Amazonas,Chachapoyas,Mariscal Castilla,Sierra,2210,1367
Amazonas,Chachapoyas,Molinopampa,Sierra,2405,2176
Amazonas,Chachapoyas,Montevideo,Sierra,2421,496
Amazonas,Chachapoyas,Quinjalca,Sierra,3151,769
Amazonas,Chachapoyas,San Francisco De Daguas,Sierra,2028,295
Amazonas,Chachapoyas,San Isidro De Maino,Sierra,2338,580
Amazonas,Chachapoyas,Sonche,Sierra,2499,247
Amazonas,Condorcanqui,El Cenepa,Selva,245,9891
Amazonas,Condorcanqui,Nieva,Selva,189,18626
Amazonas,Condorcanqui,Río Santiago,Selva,191,13953
Amazonas,Luya,Camporredondo,Sierra,1818,6473
Amazonas,Luya,Colcamar,Sierra,2355,1853
Amazonas,Luya,Inguilpata,Sierra,2380,498
Amazonas,Luya,Lamud,Sierra,2328,2227
Amazonas,Luya,Longuita,Sierra,2696,839
Amazonas,Luya,Lonya Chico,Sierra,2329,842
Amazonas,Luya,Luya,Sierra,2359,3959
Amazonas,Luya,María,Sierra,2757,744
Amazonas,Luya,Ocallí,Sierra,1867,3556
Amazonas,Luya,Ocúmal,Sierra,1898,3446
Amazonas,Luya,Pisuquía,Sierra,2118,4768
Amazonas,Luya,Providencia,Sierra,1784,1316
Amazonas,Luya,San Cristóbal,Sierra,2636,546
Amazonas,Luya,San Francisco Del Yeso,Sierra,2404,695
Amazonas,Luya,San Jerónimo,Sierra,2498,633
Amazonas,Luya,San Juan De Lopecancha,Sierra,2779,419
Amazonas,Luya,Santa Catalina,Sierra,2574,1888
Amazonas,Luya,Santo Tomás,Sierra,2836,3012
Amazonas,Luya,Tingo,Sierra,1961,1265
Amazonas,Rodriguez De Mendoza,Chirimoto,Selva,1186,2498
Amazonas,Rodriguez De Mendoza,Cochamal,Sierra,1612,595
Amazonas,Rodriguez De Mendoza,Huambo,Sierra,1731,2620
Amazonas,Rodriguez De Mendoza,Limabamba,Sierra,1677,2280
Amazonas,Rodriguez De Mendoza,Longar,Sierra,1623,1631
Amazonas,Rodriguez De Mendoza,Mariscal Benavides,Sierra,1592,1506
Amazonas,Rodriguez De Mendoza,Milpuc,Sierra,1664,453
Amazonas,Rodriguez De Mendoza,Omia,Selva,1494,8793
Amazonas,Rodriguez De Mendoza,San Nicolas,Sierra,1616,6016
Amazonas,Rodriguez De Mendoza,Santa Rosa,Sierra,1770,512
Amazonas,Rodriguez De Mendoza,Totora,Sierra,1684,282
Amazonas,Rodriguez De Mendoza,Vista Alegre,Selva,1162,2812
Amazonas,Utcubamba,Bagua Grande,Selva,444,50841
Amazonas,Utcubamba,Cajaruro,Selva,469,23089
Amazonas,Utcubamba,Cumba,Selva,477,7855
Amazonas,Utcubamba,El Milagro,Selva,392,5825
Amazonas,Utcubamba,Jamalca,Selva,1184,6620
Amazonas,Utcubamba,Lonya Grande,Selva,1269,10080
Amazonas,Utcubamba,Yamón,Selva,1137,2927
Ancash,Aija,Aija,Sierra,3421,2017
Ancash,Aija,Coris,Sierra,2903,1639
Ancash,Aija,Huacllan,Sierra,3020,364
Ancash,Aija,La Merced,Sierra,3311,1582
Ancash,Aija,Succha,Sierra,3167,714
Ancash,Antonio Raymondi,Aczo,Sierra,2680,1918
Ancash,Antonio Raymondi,Chaccho,Sierra,3371,1368
Ancash,Antonio Raymondi,Chingas,Sierra,2866,1851
Ancash,Antonio Raymondi,Llamellin,Sierra,3400,3288
