department,province,district,join_key,matched,ubigeo,shape_department,shape_province,shape_district
Cusco,Cusco,San Jeronimo,CUSCO|CUSCO|SAN JERONIMO,True,080104,CUSCO,CUSCO,SAN JERONIMO
Cusco,La Convencion,Echarate,CUSCO|LA CONVENCION|ECHARATE,True,080902,CUSCO,LA CONVENCION,ECHARATE
Cusco,Cusco,Cusco,CUSCO|CUSCO|CUSCO,True,080101,CUSCO,CUSCO,CUSCO
Ica,Ica,Subtanjalla,ICA|ICA|SUBTANJALLA,True,110112,ICA,ICA,SUBTANJALLA
Arequipa,Arequipa,Cayma,AREQUIPA|AREQUIPA|CAYMA,True,040103,AREQUIPA,AREQUIPA,CAYMA
La Libertad,Trujillo,Victor Larco Herrera,LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA,True,130111,LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA
Arequipa,Arequipa,Mariano Melgar,AREQUIPA|AREQUIPA|MARIANO MELGAR,True,040109,AREQUIPA,AREQUIPA,MARIANO MELGAR
Arequipa,Arequipa,Alto Selva Alegre,AREQUIPA|AREQUIPA|ALTO SELVA ALEGRE,True,040102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE
Cusco,Cusco,Wanchaq,CUSCO|CUSCO|WANCHAQ,True,080108,CUSCO,CUSCO,WANCHAQ
Junin,Huancayo,Huancayo,JUNIN|HUANCAYO|HUANCAYO,True,120101,JUNIN,HUANCAYO,HUANCAYO
Arequipa,Arequipa,Sachaca,AREQUIPA|AREQUIPA|SACHACA,True,040117,AREQUIPA,AREQUIPA,SACHACA
La Libertad,Trujillo,La Esperanza,LA LIBERTAD|TRUJILLO|LA ESPERANZA,True,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA
Junin,Huancayo,El Tambo,JUNIN|HUANCAYO|EL TAMBO,True,120114,JUNIN,HUANCAYO,EL TAMBO
Arequipa,Arequipa,Paucarpata,AREQUIPA|AREQUIPA|PAUCARPATA,True,040112,AREQUIPA,AREQUIPA,PAUCARPATA
La Libertad,Trujillo,Trujillo,LA LIBERTAD|TRUJILLO|TRUJILLO,True,130101,LA LIBERTAD,TRUJILLO,TRUJILLO
Piura,Piura,Veintiseis De Octubre,PIURA|PIURA|VEINTISEIS DE OCTUBRE,True,200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE
Junin,Huancayo,Chilca,JUNIN|HUANCAYO|CHILCA,True,120107,JUNIN,HUANCAYO,CHILCA
Arequipa,Arequipa,Tiabaya,AREQUIPA|AREQUIPA|TIABAYA,True,040123,AREQUIPA,AREQUIPA,TIABAYA
Cusco,Cusco,Santiago,CUSCO|CUSCO|SANTIAGO,True,080106,CUSCO,CUSCO,SANTIAGO
La Libertad,Trujillo,Moche,LA LIBERTAD|TRUJILLO|MOCHE,True,130107,LA LIBERTAD,TRUJILLO,MOCHE
Puno,Puno,Puno,PUNO|PUNO|PUNO,True,210101,PUNO,PUNO,PUNO
Ayacucho,Huamanga,Carmen Alto,AYACUCHO|HUAMANGA|CARMEN ALTO,True,050104,AYACUCHO,HUAMANGA,CARMEN ALTO
Ica,Ica,La Tinguiña,ICA|ICA|LA TINGUINA,True,110102,ICA,ICA,LA TINGUIÑA
Tacna,Candarave,Camilaca,TACNA|CANDARAVE|CAMILACA,True,230203,TACNA,CANDARAVE,CAMILACA
Puno,San Roman,Juliaca,PUNO|SAN ROMAN|JULIACA,True,211101,PUNO,SAN ROMAN,JULIACA
