ADM_LEVEL_1_NAME,ADM_LEVEL_2_NAME,ADM_LEVEL_3_NAME,NETWORK_CARRIER,BREAKPOINT_YEARMONTH,LAST_YEARMONTH_AVAILABLE
Ica,Chincha,Sunampe,MOVISTAR,202405,202512
Ica,Chincha,Alto Laran,MOVISTAR,202406,202512
Ica,Chincha,Chincha Alta,MOVISTAR,202406,202512
Ica,Chincha,Chincha Baja,MOVISTAR,202406,202512
Ica,Chincha,El Carmen,MOVISTAR,202406,202512
Ica,Chincha,Pueblo Nuevo,MOVISTAR,202406,202512
Arequipa,Arequipa,Alto Selva Alegre,MOVISTAR,202410,202512
Arequipa,Arequipa,Jacobo Hunter,MOVISTAR,202410,202512
Arequipa,Arequipa,Sachaca,MOVISTAR,202410,202512
Arequipa,Arequipa,Socabaya,MOVISTAR,202410,202512
Arequipa,Arequipa,Tiabaya,MOVISTAR,202410,202512
Arequipa,Arequipa,Yanahuara,MOVISTAR,202410,202512
Cajamarca,Celendin,Celendin,MOVISTAR,202410,202512
Arequipa,Arequipa,Cayma,MOVISTAR,202411,202512
Arequipa,Arequipa,Jose Luis Bustamante Y Rivero,MOVISTAR,202411,202512
Arequipa,Arequipa,Mariano Melgar,MOVISTAR,202411,202512
Arequipa,Arequipa,Miraflores,MOVISTAR,202411,202512
Arequipa,Arequipa,Paucarpata,MOVISTAR,202411,202512
Piura,Piura,Catacaos,MOVISTAR,202411,202512
Junin,Huancayo,San Agustin,MOVISTAR,202412,202512
La Libertad,Trujillo,El Porvenir,MOVISTAR,202412,202512
La Libertad,Trujillo,La Esperanza,MOVISTAR,202412,202512
La Libertad,Trujillo,Moche,MOVISTAR,202412,202512
La Libertad,Trujillo,Trujillo,MOVISTAR,202412,202512
La Libertad,Trujillo,Victor Larco Herrera,MOVISTAR,202412,202512
Lambayeque,Chiclayo,Chiclayo,MOVISTAR,202412,202512
Lambayeque,Chiclayo,Jose Leonardo Ortiz,MOVISTAR,202412,202512
Lambayeque,Chiclayo,La Victoria,MOVISTAR,202412,202512
Lambayeque,Chiclayo,Pimentel,MOVISTAR,202412,202512
Piura,Piura,Castilla,MOVISTAR,202412,202512
Piura,Piura,Piura,MOVISTAR,202412,202512
Piura,Piura,Veintiseis De Octubre,MOVISTAR,202412,202512
Tacna,Candarave,Camilaca,MOVISTAR,202412,202512
Junin,Huancayo,Chilca,MOVISTAR,202501,202512
Junin,Huancayo,El Tambo,MOVISTAR,202501,202512
Junin,Huancayo,Huancayo,MOVISTAR,202501,202512
Junin,Huancayo,Pilcomayo,MOVISTAR,202501,202512
Lima,Lima,Punta Negra,MOVISTAR,202504,202512
Ayacucho,Huamanga,Carmen Alto,MOVISTAR,202505,202512
Cajamarca,Santa Cruz,Santa Cruz,MOVISTAR,202505,202512
Ica,Ica,Subtanjalla,MOVISTAR,202507,202512
Ica,Ica,La Tinguiña,MOVISTAR,202508,202512
Cusco,Cusco,Cusco,MOVISTAR,202509,202512
Cusco,Cusco,San Jeronimo,MOVISTAR,202509,202512
Cusco,Cusco,San Sebastian,MOVISTAR,202509,202512
Cusco,Cusco,Santiago,MOVISTAR,202509,202512
Cusco,Cusco,Wanchaq,MOVISTAR,202509,202512
Ica,Ica,Ica,MOVISTAR,202510,202512
Ica,Ica,Parcona,MOVISTAR,202510,202512
Junin,Junin,Carhuamayo,MOVISTAR,202510,202512
Lima,Cañete,Chilca,MOVISTAR,202510,202512
Lima,Lima,San Luis,MOVISTAR,202510,202512
Junin,Chanchamayo,Chanchamayo,MOVISTAR,202511,202512
Lima,Lima,Barranco,MOVISTAR,202511,202512
Puno,Puno,Puno,MOVISTAR,202511,202512
Puno,San Roman,Caracoto,MOVISTAR,202511,202512
Puno,San Roman,Juliaca,MOVISTAR,202511,202512
Puno,San Roman,San Miguel,MOVISTAR,202511,202512
San Martin,Moyobamba,Moyobamba,MOVISTAR,202511,202512
Tumbes,Tumbes,Tumbes,MOVISTAR,202511,202512
Callao,Callao,Mi Peru,MOVISTAR,202512,202512
Cusco,Acomayo,Pomacanchi,MOVISTAR,202512,202512
Cusco,La Convencion,Echarate,MOVISTAR,202512,202512
Huancavelica,Tayacaja,Pampas,MOVISTAR,202512,202512
Lima,Cañete,Asia,MOVISTAR,202512,202512
Lima,Cañete,Cerro Azul,MOVISTAR,202512,202512
Lima,Cañete,Mala,MOVISTAR,202512,202512
Lima,Huaura,Huaura,MOVISTAR,202512,202512
Lima,Lima,Breña,MOVISTAR,202512,202512
Lima,Lima,Carabayllo,MOVISTAR,202512,202512
Lima,Lima,Comas,MOVISTAR,202512,202512
Lima,Lima,El Agustino,MOVISTAR,202512,202512
Lima,Lima,Independencia,MOVISTAR,202512,202512
Lima,Lima,Los Olivos,MOVISTAR,202512,202512
Lima,Lima,Puente Piedra,MOVISTAR,202512,202512
Lima,Lima,San Juan De Lurigancho,MOVISTAR,202512,202512
Lima,Lima,San Martin De Porres,MOVISTAR,202512,202512
Tumbes,Contralmirante Villar,Canoas De Punta Sal,MOVISTAR,202512,202512
