department,province,district,yearmonth,category
Ica,Chincha,Sunampe,202405,empty_field
Ica,Chincha,Sunampe,202406,empty_field
Ica,Chincha,Sunampe,202407,empty_field
Ica,Chincha,Sunampe,202408,empty_field
Ica,Chincha,Sunampe,202409,empty_field
Ica,Chincha,Sunampe,202410,empty_field
Ica,Chincha,Sunampe,202411,empty_field
Ica,Chincha,Sunampe,202412,empty_field
Ica,Chincha,Sunampe,202501,empty_field
Ica,Chincha,Sunampe,202502,empty_field
Ica,Chincha,Sunampe,202503,empty_field
Ica,Chincha,Sunampe,202504,empty_field
Ica,Chincha,Sunampe,202505,empty_field
Ica,Chincha,Sunampe,202506,empty_field
Ica,Chincha,Sunampe,202507,empty_field
Ica,Chincha,Sunampe,202508,empty_field
Ica,Chincha,Sunampe,202509,empty_field
Ica,Chincha,Sunampe,202510,empty_field
Ica,Chincha,Sunampe,202511,empty_field
Ica,Chincha,Sunampe,202512,empty_field
Ica,Chincha,Sunampe,202601,empty_field
Ica,Chincha,Sunampe,202602,empty_field
Ica,Chincha,Sunampe,202603,empty_field
Ica,Chincha,Sunampe,202604,empty_field
Ica,Chincha,Sunampe,202605,empty_field
Ica,Chincha,Alto Laran,202406,empty_field
Ica,Chincha,Alto Laran,202407,empty_field
Ica,Chincha,Alto Laran,202408,empty_field
Ica,Chincha,Alto Laran,202409,empty_field
Ica,Chincha,Alto Laran,202410,empty_field
Ica,Chincha,Alto Laran,202411,empty_field
Ica,Chincha,Alto Laran,202412,empty_field
Ica,Chincha,Alto Laran,202501,empty_field
Ica,Chincha,Alto Laran,202502,empty_field
Ica,Chincha,Alto Laran,202503,empty_field
Ica,Chincha,Alto Laran,202504,empty_field
Ica,Chincha,Alto Laran,202505,empty_field
Ica,Chincha,Alto Laran,202506,empty_field
Ica,Chincha,Alto Laran,202507,empty_field
Ica,Chincha,Alto Laran,202508,empty_field
Ica,Chincha,Alto Laran,202509,empty_field
Ica,Chincha,Alto Laran,202510,empty_field
Ica,Chincha,Alto Laran,202511,empty_field
Ica,Chincha,Alto Laran,202512,empty_field
Ica,Chincha,Alto Laran,202601,empty_field
Ica,Chincha,Alto Laran,202602,empty_field
Ica,Chincha,Alto Laran,202603,empty_field
Ica,Chincha,Alto Laran,202604,empty_field
Ica,Chincha,Alto Laran,202605,empty_field
Ica,Chincha,Chincha Alta,202406,empty_field
Ica,Chincha,Chincha Alta,202407,empty_field
Ica,Chincha,Chincha Alta,202408,empty_field
Ica,Chincha,Chincha Alta,202409,empty_field
Ica,Chincha,Chincha Alta,202410,empty_field
Ica,Chincha,Chincha Alta,202411,empty_field
Ica,Chincha,Chincha Alta,202412,empty_field
Ica,Chincha,Chincha Alta,202501,empty_field
Ica,Chincha,Chincha Alta,202502,empty_field
Ica,Chincha,Chincha Alta,202503,empty_field
Ica,Chincha,Chincha Alta,202504,empty_field
Ica,Chincha,Chincha Alta,202505,empty_field
Ica,Chincha,Chincha Alta,202506,empty_field
Ica,Chincha,Chincha Alta,202507,empty_field
Ica,Chincha,Chincha Alta,202508,empty_field
Ica,Chincha,Chincha Alta,202509,empty_field
Ica,Chincha,Chincha Alta,202510,empty_field
Ica,Chincha,Chincha Alta,202511,empty_field
Ica,Chincha,Chincha Alta,202512,empty_field
Ica,Chincha,Chincha Alta,202601,empty_field
Ica,Chincha,Chincha Alta,202602,empty_field
Ica,Chincha,Chincha Alta,202603,empty_field
Ica,Chincha,Chincha Alta,202604,empty_field
Ica,Chincha,Chincha Alta,202605,empty_field
Ica,Chincha,Chincha Baja,202406,empty_field
Ica,Chincha,Chincha Baja,202407,empty_field
Ica,Chincha,Chincha Baja,202408,empty_field
Ica,Chincha,Chincha Baja,202409,empty_field
Ica,Chincha,Chincha Baja,202410,empty_field
Ica,Chincha,Chincha Baja,202411,empty_field
Ica,Chincha,Chincha Baja,202412,empty_field
Ica,Chincha,Chincha Baja,202501,empty_field
Ica,Chincha,Chincha Baja,202502,empty_field
Ica,Chincha,Chincha Baja,202503,empty_field
Ica,Chincha,Chincha Baja,202504,empty_field
Ica,Chincha,Chincha Baja,202505,empty_field
Ica,Chincha,Chincha Baja,202506,empty_field
Ica,Chincha,Chincha Baja,202507,empty_field
Ica,Chincha,Chincha Baja,202508,empty_field
Ica,Chincha,Chincha Baja,202509,empty_field
Ica,Chincha,Chincha Baja,202510,empty_field
Ica,Chincha,Chincha Baja,202511,empty_field
Ica,Chincha,Chincha Baja,202512,empty_field
Ica,Chincha,Chincha Baja,202601,empty_field
Ica,Chincha,Chincha Baja,202602,empty_field
Ica,Chincha,Chincha Baja,202603,empty_field
Ica,Chincha,Chincha Baja,202604,empty_field
Ica,Chincha,Chincha Baja,202605,empty_field
Ica,Chincha,El Carmen,202406,empty_field
Ica,Chincha,El Carmen,202407,empty_field
Ica,Chincha,El Carmen,202408,empty_field
Ica,Chincha,El Carmen,202409,empty_field
Ica,Chincha,El Carmen,202410,empty_field
Ica,Chincha,El Carmen,202411,empty_field
Ica,Chincha,El Carmen,202412,empty_field
Ica,Chincha,El Carmen,202501,empty_field
Ica,Chincha,El Carmen,202502,empty_field
Ica,Chincha,El Carmen,202503,empty_field
Ica,Chincha,El Carmen,202504,empty_field
Ica,Chincha,El Carmen,202505,empty_field
Ica,Chincha,El Carmen,202506,empty_field
Ica,Chincha,El Carmen,202507,empty_field
Ica,Chincha,El Carmen,202508,empty_field
Ica,Chincha,El Carmen,202509,empty_field
Ica,Chincha,El Carmen,202510,empty_field
Ica,Chincha,El Carmen,202511,empty_field
Ica,Chincha,El Carmen,202512,empty_field
Ica,Chincha,El Carmen,202601,empty_field
Ica,Chincha,El Carmen,202602,empty_field
Ica,Chincha,El Carmen,202603,empty_field
Ica,Chincha,El Carmen,202604,empty_field
Ica,Chincha,El Carmen,202605,empty_field
Ica,Chincha,Pueblo Nuevo,202406,empty_field
Ica,Chincha,Pueblo Nuevo,202407,empty_field
Ica,Chincha,Pueblo Nuevo,202408,empty_field
Ica,Chincha,Pueblo Nuevo,202409,empty_field
Ica,Chincha,Pueblo Nuevo,202410,empty_field
Ica,Chincha,Pueblo Nuevo,202411,empty_field
Ica,Chincha,Pueblo Nuevo,202412,empty_field
Ica,Chincha,Pueblo Nuevo,202501,empty_field
Ica,Chincha,Pueblo Nuevo,202502,empty_field
Ica,Chincha,Pueblo Nuevo,202503,empty_field
Ica,Chincha,Pueblo Nuevo,202504,empty_field
Ica,Chincha,Pueblo Nuevo,202505,empty_field
Ica,Chincha,Pueblo Nuevo,202506,empty_field
Ica,Chincha,Pueblo Nuevo,202507,empty_field
Ica,Chincha,Pueblo Nuevo,202508,empty_field
Ica,Chincha,Pueblo Nuevo,202509,empty_field
Ica,Chincha,Pueblo Nuevo,202510,empty_field
Ica,Chincha,Pueblo Nuevo,202511,empty_field
Ica,Chincha,Pueblo Nuevo,202512,empty_field
Ica,Chincha,Pueblo Nuevo,202601,empty_field
Ica,Chincha,Pueblo Nuevo,202602,empty_field
Ica,Chincha,Pueblo Nuevo,202603,empty_field
Ica,Chincha,Pueblo Nuevo,202604,empty_field
Ica,Chincha,Pueblo Nuevo,202605,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202410,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202411,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202412,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202501,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202502,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202503,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202504,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202505,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202506,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202507,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202508,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202509,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202510,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202511,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202512,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202601,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202602,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202603,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202604,empty_field
Arequipa,Arequipa,Alto Selva Alegre,202605,empty_field
Arequipa,Arequipa,Jacobo Hunter,202410,empty_field
Arequipa,Arequipa,Jacobo Hunter,202411,empty_field
Arequipa,Arequipa,Jacobo Hunter,202412,empty_field
Arequipa,Arequipa,Jacobo Hunter,202501,empty_field
Arequipa,Arequipa,Jacobo Hunter,202502,empty_field
Arequipa,Arequipa,Jacobo Hunter,202503,empty_field
Arequipa,Arequipa,Jacobo Hunter,202504,empty_field
Arequipa,Arequipa,Jacobo Hunter,202505,empty_field
Arequipa,Arequipa,Jacobo Hunter,202506,empty_field
Arequipa,Arequipa,Jacobo Hunter,202507,empty_field
Arequipa,Arequipa,Jacobo Hunter,202508,empty_field
Arequipa,Arequipa,Jacobo Hunter,202509,empty_field
Arequipa,Arequipa,Jacobo Hunter,202510,empty_field
Arequipa,Arequipa,Jacobo Hunter,202511,empty_field
Arequipa,Arequipa,Jacobo Hunter,202512,empty_field
Arequipa,Arequipa,Jacobo Hunter,202601,empty_field
Arequipa,Arequipa,Jacobo Hunter,202602,empty_field
Arequipa,Arequipa,Jacobo Hunter,202603,empty_field
Arequipa,Arequipa,Jacobo Hunter,202604,empty_field
Arequipa,Arequipa,Jacobo Hunter,202605,empty_field
Arequipa,Arequipa,Sachaca,202410,empty_field
Arequipa,Arequipa,Sachaca,202411,empty_field
Arequipa,Arequipa,Sachaca,202412,empty_field
Arequipa,Arequipa,Sachaca,202501,empty_field
Arequipa,Arequipa,Sachaca,202502,empty_field
Arequipa,Arequipa,Sachaca,202503,empty_field
Arequipa,Arequipa,Sachaca,202504,empty_field
Arequipa,Arequipa,Sachaca,202505,empty_field
Arequipa,Arequipa,Sachaca,202506,empty_field
Arequipa,Arequipa,Sachaca,202507,empty_field
Arequipa,Arequipa,Sachaca,202508,empty_field
Arequipa,Arequipa,Sachaca,202509,empty_field
Arequipa,Arequipa,Sachaca,202510,empty_field
Arequipa,Arequipa,Sachaca,202511,empty_field
Arequipa,Arequipa,Sachaca,202512,empty_field
Arequipa,Arequipa,Sachaca,202601,empty_field
Arequipa,Arequipa,Sachaca,202602,empty_field
Arequipa,Arequipa,Sachaca,202603,empty_field
Arequipa,Arequipa,Sachaca,202604,empty_field
Arequipa,Arequipa,Sachaca,202605,empty_field
Arequipa,Arequipa,Socabaya,202410,empty_field
Arequipa,Arequipa,Socabaya,202411,empty_field
Arequipa,Arequipa,Socabaya,202412,empty_field
Arequipa,Arequipa,Socabaya,202501,empty_field
Arequipa,Arequipa,Socabaya,202502,empty_field
Arequipa,Arequipa,Socabaya,202503,empty_field
Arequipa,Arequipa,Socabaya,202504,empty_field
Arequipa,Arequipa,Socabaya,202505,empty_field
Arequipa,Arequipa,Socabaya,202506,empty_field
Arequipa,Arequipa,Socabaya,202507,empty_field
Arequipa,Arequipa,Socabaya,202508,empty_field
Arequipa,Arequipa,Socabaya,202509,empty_field
Arequipa,Arequipa,Socabaya,202510,empty_field
Arequipa,Arequipa,Socabaya,202511,empty_field
