district,tau,yearmonth,time_pct_3g,time_pct_4g,time_pct_5g,download_4g,download_5g,meas_4g,meas_5g,control_mean_4g_dl
Breña,-12,202412,4.070321,95.58019,0.0,10.392201,0.0,65242.0,0.0,11.5237266
Breña,-11,202501,7.135333,92.50128,0.0,10.383628,0.0,64705.0,0.0,11.5301782
Breña,-10,202502,5.166578,94.423996,0.0,11.397219,0.0,60878.0,0.0,11.254919400000002
Breña,-9,202503,3.1838243,96.39079,0.0,11.696852,0.0,60955.0,0.0,11.467028
Breña,-8,202504,3.2643843,96.36506,0.0,12.154782,0.0,65890.0,0.0,12.049033099999999
Breña,-7,202505,1.5596554,98.1644,0.0,13.108296,0.0,77948.0,0.0,11.9968122
Breña,-6,202506,3.2724876,96.461914,0.0,13.503706,0.0,67358.0,0.0,12.0432386
Breña,-5,202507,3.3256927,96.359695,0.0,12.092561,0.0,76810.0,0.0,11.8956095
Breña,-4,202508,2.071444,97.60096,0.0,11.794642,0.0,66230.0,0.0,12.1325842
Breña,-3,202509,1.533708,98.07002,0.0,12.530323,0.0,74733.0,0.0,12.772934600000001
Breña,-2,202510,1.4412117,97.86095,0.0,12.822158,0.0,66175.0,0.0,12.7870849
Breña,-1,202511,1.175794,98.34331,0.0,13.363552,0.0,62545.0,0.0,12.7372543
Breña,0,202512,1.2627186,98.19336,0.0,13.886901,0.0,59299.0,0.0,13.1623254
Breña,1,202601,1.2061723,98.56455,0.0,14.086522,0.0,57074.0,0.0,13.4267171
Breña,2,202602,2.906759,96.651474,0.0,13.071259,0.0,59295.0,0.0,13.5925148
Breña,3,202603,1.3498173,98.34814,0.13141696,12.902976,0.0,53831.0,0.0,13.5162148
Breña,4,202604,0.60571,98.76607,0.31422016,13.148812,21.394115,48636.0,455.0,13.5469884
Breña,5,202605,0.0038622203,98.53398,0.43041342,13.672227,17.577816,54847.0,1315.0,13.618440799999998
Carabayllo,-12,202412,7.8112397,90.41824,0.0,10.308854,0.0,145797.0,0.0,11.620987
Carabayllo,-11,202501,5.7187133,92.73981,0.0,11.216667,0.0,126292.0,0.0,11.787683999999999
Carabayllo,-10,202502,5.7348576,93.406075,0.0,12.721289,0.0,149437.0,0.0,11.6945335
Carabayllo,-9,202503,5.197965,94.199066,0.0,13.055373,0.0,169434.0,0.0,12.05137
Carabayllo,-8,202504,3.9027586,95.30703,0.0,12.568585,0.0,178972.0,0.0,12.250692666666666
Carabayllo,-7,202505,3.5638182,95.80183,0.0,13.030358,0.0,166555.0,0.0,12.080232333333333
Carabayllo,-6,202506,3.017397,96.48353,0.0,13.87983,0.0,164213.0,0.0,12.070001
Carabayllo,-5,202507,3.3308425,96.007484,0.0,13.196912,0.0,158329.0,0.0,12.430973666666667
Carabayllo,-4,202508,2.37261,96.760735,0.0,12.97969,0.0,158243.0,0.0,12.44151
Carabayllo,-3,202509,2.1645494,97.57273,0.0,12.659134,0.0,143001.0,0.0,12.850837
Carabayllo,-2,202510,2.815042,96.85074,0.0,13.051315,0.0,138061.0,0.0,13.077252333333334
Carabayllo,-1,202511,2.0754497,97.580696,0.03168167,14.538212,19.580753,157272.0,569.0,13.159878333333333
