group,district_key,breakpoint,first_5g_yearmonth,relative_month,class
confirmed_86,ICA|CHINCHA|SUNAMPE,202405,,,never
confirmed_86,ICA|CHINCHA|ALTO LARAN,202406,,,never
confirmed_86,ICA|CHINCHA|CHINCHA ALTA,202406,,,never
confirmed_86,ICA|CHINCHA|CHINCHA BAJA,202406,,,never
confirmed_86,ICA|CHINCHA|EL CARMEN,202406,,,never
confirmed_86,ICA|CHINCHA|PUEBLO NUEVO,202406,,,never
confirmed_86,AREQUIPA|AREQUIPA|ALTO SELVA ALEGRE,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|JACOBO HUNTER,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|SACHACA,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|SOCABAYA,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|TIABAYA,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|YANAHUARA,202410,,,never
confirmed_86,AREQUIPA|AREQUIPA|CAYMA,202411,,,never
confirmed_86,AREQUIPA|AREQUIPA|JOSE LUIS BUSTAMANTE Y RIVERO,202411,,,never
confirmed_86,AREQUIPA|AREQUIPA|MARIANO MELGAR,202411,,,never
confirmed_86,AREQUIPA|AREQUIPA|MIRAFLORES,202411,,,never
confirmed_86,AREQUIPA|AREQUIPA|PAUCARPATA,202411,,,never
confirmed_86,PIURA|PIURA|CATACAOS,202411,,,never
confirmed_86,JUNIN|HUANCAYO|SAN AGUSTIN,202412,,,never
confirmed_86,LA LIBERTAD|TRUJILLO|EL PORVENIR,202412,,,never
confirmed_86,LA LIBERTAD|TRUJILLO|LA ESPERANZA,202412,,,never
confirmed_86,LA LIBERTAD|TRUJILLO|MOCHE,202412,,,never
confirmed_86,LA LIBERTAD|TRUJILLO|TRUJILLO,202412,,,never
confirmed_86,LA LIBERTAD|TRUJILLO|VICTOR LARCO HERRERA,202412,,,never
confirmed_86,LAMBAYEQUE|CHICLAYO|CHICLAYO,202412,,,never
confirmed_86,LAMBAYEQUE|CHICLAYO|JOSE LEONARDO ORTIZ,202412,,,never
confirmed_86,LAMBAYEQUE|CHICLAYO|LA VICTORIA,202412,,,never
confirmed_86,LAMBAYEQUE|CHICLAYO|PIMENTEL,202412,,,never
confirmed_86,PIURA|PIURA|CASTILLA,202412,,,never
confirmed_86,PIURA|PIURA|VEINTISEIS DE OCTUBRE,202412,,,never
confirmed_86,TACNA|CANDARAVE|CAMILACA,202412,,,never
confirmed_86,JUNIN|HUANCAYO|CHILCA,202501,,,never
confirmed_86,JUNIN|HUANCAYO|EL TAMBO,202501,,,never
confirmed_86,JUNIN|HUANCAYO|HUANCAYO,202501,,,never
confirmed_86,JUNIN|HUANCAYO|PILCOMAYO,202501,,,never
confirmed_86,LIMA|LIMA|PUNTA NEGRA,202504,202604.0,12.0,5g_after_window
confirmed_86,AYACUCHO|HUAMANGA|CARMEN ALTO,202505,,,never
confirmed_86,ICA|ICA|SUBTANJALLA,202507,,,never
confirmed_86,ICA|ICA|LA TINGUIÑA,202508,,,never
confirmed_86,CUSCO|CUSCO|CUSCO,202509,,,never
confirmed_86,CUSCO|CUSCO|SAN JERONIMO,202509,,,never
confirmed_86,CUSCO|CUSCO|SAN SEBASTIAN,202509,,,never
confirmed_86,CUSCO|CUSCO|SANTIAGO,202509,,,never
confirmed_86,CUSCO|CUSCO|WANCHAQ,202509,,,never
confirmed_86,ICA|ICA|ICA,202510,,,never
confirmed_86,ICA|ICA|PARCONA,202510,,,never
confirmed_86,LIMA|CAÑETE|CHILCA,202510,,,never
