district,department,tau,yearmonth,treated_4g_dl,treated_4g_meas,treated_4g_time_pct,control_mean_4g_dl,control_mean_4g_meas
Socabaya,Arequipa,-12,202310,9.42057,36595.0,95.13116,10.2866028,42694.2
Socabaya,Arequipa,-11,202311,8.429635,27135.0,94.95816,10.076098400000001,42577.2
Socabaya,Arequipa,-10,202312,8.537264,27428.0,95.761505,10.883744799999999,44065.2
Socabaya,Arequipa,-9,202401,9.274182,20774.0,93.523125,9.814189000000002,39954.4
Socabaya,Arequipa,-8,202402,9.507683,24870.0,90.35248,11.0832466,34748.8
Socabaya,Arequipa,-7,202403,9.418036,23150.0,91.66415,9.999676099999999,34651.8
Socabaya,Arequipa,-6,202404,13.992562,32134.0,96.10612,11.277214,32390.2
Socabaya,Arequipa,-5,202405,13.5069065,32540.0,96.38263,10.9961806,31435.8
Socabaya,Arequipa,-4,202406,11.349991,35768.0,96.31804,10.6106724,35521.6
Socabaya,Arequipa,-3,202407,9.047437,29347.0,95.48764,11.3655334,37375.2
Socabaya,Arequipa,-2,202408,9.310996,22064.0,96.29354,11.0734862,33872.0
Socabaya,Arequipa,-1,202409,9.835673,32968.0,96.95084,10.466944400000001,36146.0
Socabaya,Arequipa,0,202410,9.906948,35970.0,97.128365,10.1472384,34779.6
Socabaya,Arequipa,1,202411,10.270922,40044.0,97.686165,10.330299,33799.8
Socabaya,Arequipa,2,202412,10.751978,40280.0,97.7796,10.306845800000001,30710.8
Socabaya,Arequipa,3,202501,9.381789,24715.0,98.13555,10.7699744,42359.0
Socabaya,Arequipa,4,202502,9.851045,29623.0,98.353645,10.701729400000001,40223.2
Socabaya,Arequipa,5,202503,10.037416,43924.0,97.10088,10.9033606,38840.0
Socabaya,Arequipa,6,202504,9.745872,40434.0,97.29002,10.6629748,38791.6
Socabaya,Arequipa,7,202505,10.173679,36579.0,97.17927,10.4774402,31053.2
Socabaya,Arequipa,8,202506,9.689719,33752.0,96.97083,10.5549374,25992.8
Socabaya,Arequipa,9,202507,9.310895,31640.0,97.520836,10.0747914,27086.4
Socabaya,Arequipa,10,202508,11.335909,26275.0,97.51068,10.6995612,31758.4
Socabaya,Arequipa,11,202509,10.301198,27688.0,96.47898,10.971466099999999,31084.4
Socabaya,Arequipa,12,202510,10.997642,33043.0,97.47762,10.815140600000001,29732.8
Sunampe,Ica,-12,202305,13.188106,24697.0,94.37298,11.6631705,25655.8
Sunampe,Ica,-11,202306,12.6644335,33594.0,91.14855,12.248270999999999,30347.8
Sunampe,Ica,-10,202307,12.587157,42800.0,92.57017,12.142564099999998,36414.4
Sunampe,Ica,-9,202308,11.94695,38934.0,95.98787,11.0972643,35510.8
Sunampe,Ica,-8,202309,12.148876,38854.0,94.073166,10.7450208,34936.8
Sunampe,Ica,-7,202310,11.478579,44338.0,97.39433,10.6661754,37945.4
Sunampe,Ica,-6,202311,11.530546,40265.0,96.01902,11.4792146,35480.0
Sunampe,Ica,-5,202312,13.140054,52965.0,95.87731,12.0924484,33552.4
Sunampe,Ica,-4,202401,11.746307,49029.0,95.70794,11.579711900000001,31061.4
Sunampe,Ica,-3,202402,11.873064,42469.0,95.2259,11.693060800000001,26229.2
Sunampe,Ica,-2,202403,11.438472,46286.0,95.0403,12.0561732,29200.6
Sunampe,Ica,-1,202404,12.129997,55462.0,97.05279,12.466090600000001,29853.4
Sunampe,Ica,0,202405,12.545376,46784.0,98.853485,13.1509914,31654.6
Sunampe,Ica,1,202406,12.719716,42976.0,96.13698,13.6181072,28773.0
Sunampe,Ica,2,202407,11.351917,34509.0,97.47625,12.8500876,30145.4
Sunampe,Ica,3,202408,12.00538,37443.0,98.165596,12.913388000000001,26230.2
Sunampe,Ica,4,202409,12.109469,40319.0,97.54518,12.232078,32061.2
Sunampe,Ica,5,202410,11.924708,42020.0,97.77801,11.343871,39826.2
Sunampe,Ica,6,202411,11.687888,31881.0,97.057495,12.537545,36154.0
Sunampe,Ica,7,202412,11.98213,28969.0,95.45055,12.325846100000001,33170.2
Sunampe,Ica,8,202501,11.966063,36974.0,96.223335,12.224222000000001,34333.6
Sunampe,Ica,9,202502,11.431902,25319.0,95.61765,11.143045400000002,28233.2
Sunampe,Ica,10,202503,11.340706,30823.0,98.86169,11.396412399999999,31646.8
Sunampe,Ica,11,202504,10.575775,29354.0,95.68933,12.283509200000001,28250.0
Sunampe,Ica,12,202505,11.207232,27777.0,97.5764,11.599101600000001,30633.8
San Agustin,Junin,-12,202312,9.757801,33071.0,96.08817,8.816848539999999,31119.0
San Agustin,Junin,-11,202401,8.179369,43019.0,95.306854,9.0236088,28898.4
San Agustin,Junin,-10,202402,7.8279066,38745.0,92.77859,9.098461,26489.2
San Agustin,Junin,-9,202403,7.6925697,46109.0,96.196815,8.4919622,25251.2
San Agustin,Junin,-8,202404,8.196996,43604.0,94.65987,8.95162174,26818.4
San Agustin,Junin,-7,202405,10.329546,32134.0,92.188,8.596877899999999,25194.4
San Agustin,Junin,-6,202406,9.347518,28651.0,92.98468,9.332830679999999,26781.6
San Agustin,Junin,-5,202407,9.520856,25399.0,93.54194,9.2737834,30107.8
San Agustin,Junin,-4,202408,9.551263,24839.0,96.68504,9.0974154,25430.6
San Agustin,Junin,-3,202409,9.347602,26871.0,96.660194,9.163241600000001,24060.0
San Agustin,Junin,-2,202410,8.973726,28055.0,95.61183,8.734069,28402.0
San Agustin,Junin,-1,202411,8.692002,30677.0,96.47919,8.6341875,23461.2
San Agustin,Junin,0,202412,9.4032545,27904.0,97.68233,8.9483274,24989.8
San Agustin,Junin,1,202501,7.8046346,25468.0,97.19893,8.47592058,22251.0
San Agustin,Junin,2,202502,8.323155,22510.0,97.56742,8.307333080000001,18947.0
San Agustin,Junin,3,202503,8.376029,25193.0,96.7212,7.8674228,22902.8
San Agustin,Junin,4,202504,8.748566,20040.0,96.75799,7.830578639999999,24173.4
San Agustin,Junin,5,202505,9.667667,14406.0,96.65483,8.42751392,21419.2
San Agustin,Junin,6,202506,9.003099,15812.0,97.3881,9.13800674,20946.6
San Agustin,Junin,7,202507,9.132474,17747.0,96.377686,9.0982305,21989.2
San Agustin,Junin,8,202508,8.510493,16421.0,95.82216,9.865861599999999,23191.2
San Agustin,Junin,9,202509,9.378714,21997.0,98.57864,10.214593599999999,22432.2
San Agustin,Junin,10,202510,8.994318,18841.0,99.33832,10.255904999999998,21936.4
San Agustin,Junin,11,202511,8.431895,13090.0,98.10458,9.9430322,18764.0
San Agustin,Junin,12,202512,9.219667,17721.0,97.60403,9.5466909,15008.4
