department,province,district,region3,breakpoint,months_post,pre_dl,post_dl,delta_raw,did,pre_meas,post_meas,pct_change_meas,has_5g_post,altitud_m,poblacion,delta_time4g,delta_latency,n_controls
Arequipa,Arequipa,Socabaya,Sierra,202410,20,11.1739,10.0333,-1.1406,-0.7021,30803.5,35759.3333,0.1609,False,2352,75351,1.4409,-16.5714,5
Ica,Chincha,Sunampe,Costa,202405,25,11.9764,12.1094,0.133,-0.6573,47746.0,40675.1667,-0.1481,False,94,29079,1.8387,10.7898,5
Junin,Huancayo,San Agustin,Sierra,202412,18,9.2388,8.7206,-0.5183,0.2115,27415.3333,22586.8333,-0.1761,False,3297,15281,1.77,-12.9714,5
La Libertad,Trujillo,El Porvenir,Costa,202412,18,9.801,9.6191,-0.1819,-0.7713,65724.0,48945.8333,-0.2553,False,92,190461,1.2444,-12.3011,5
Lambayeque,Chiclayo,Chiclayo,Costa,202412,18,10.3344,10.6267,0.2923,-0.3799,170940.6667,171655.0,0.0042,False,28,270496,0.8472,-12.9625,5
Lambayeque,Chiclayo,La Victoria,Costa,202412,18,10.4593,9.6927,-0.7666,-0.4906,44438.0,42782.6667,-0.0373,False,36,90912,0.6673,-13.0185,5
Lima,Lima,Breña,Costa,202512,6,12.6845,13.4614,0.777,-0.3055,68975.1667,55497.0,-0.1954,True,153,85309,0.7268,-2.1798,5
Lima,Lima,Carabayllo,Costa,202512,6,13.3842,13.8528,0.4686,-1.2927,153186.5,141854.1667,-0.074,True,238,333045,1.9903,-2.9736,3
Lima,Lima,Independencia,Costa,202512,6,12.2817,12.8195,0.5378,-0.6621,98229.5,76975.5,-0.2164,False,111,211360,2.7287,-3.1853,5
Lima,Lima,Los Olivos,Costa,202512,6,13.1495,13.6276,0.4781,-0.9503,165156.1667,152400.3333,-0.0772,True,67,325884,1.9959,-2.5116,4
Lima,Lima,Puente Piedra,Costa,202512,6,12.37,13.3353,0.9653,-0.1868,119452.6667,113194.1667,-0.0524,False,50,329675,2.516,-3.0091,5
Lima,Lima,Punta Negra,Costa,202504,14,11.2532,12.3574,1.1042,-0.2042,7551.5,10016.1667,0.3264,False,42,7074,10.2398,-7.9106,5
Lima,Lima,San Juan De Lurigancho,Costa,202512,6,12.71,12.8963,0.1863,-0.8051,373115.5,310179.0,-0.1687,True,222,1038495,2.3445,-1.8675,5
Lima,Lima,San Martin De Porres,Costa,202512,6,12.8483,13.1768,0.3286,-0.5652,290867.8333,264149.3333,-0.0919,True,138,654083,3.33,-2.9376,3
Lima,Huaura,Sayan,Costa,202602,4,8.8302,6.116,-2.7142,-3.5172,6174.3333,5641.75,-0.0863,False,689,23408,3.8719,-0.9786,5
Puno,Melgar,Ayaviri,Sierra,202602,4,9.9227,10.3621,0.4395,-0.1298,32055.8333,21073.75,-0.3426,False,3937,24452,3.5985,-0.1626,5
